name,description,price
MacBook Pro 16 pouces,Ordinateur portable Apple avec puce M3 Max,3499.99
iPhone 15 Pro,Smartphone Apple dernière génération,1199.00
Samsung Galaxy S24 Ultra,Smartphone Samsung haut de gamme,1359.00
ThinkPad X1 Carbon,Ultrabook Lenovo professionnel,1899.00
AirPods Pro 2,Écouteurs sans fil Apple avec réduction de bruit,279.00
Logitech MX Master 3S,Souris ergonomique sans fil,109.99
Dell UltraSharp 27 4K,Moniteur professionnel 27 pouces,549.00
Clavier Keychron K2,Clavier mécanique compact sans fil,89.99
SSD Samsung 990 Pro 2To,Disque SSD NVMe haute performance,179.99
Microsoft Office 365,Suite bureautique complète - Licence annuelle,99.00
